Institucion,Organismo responsable,Expediente,Fecha,Tipo,Objeto,Procedimiento,Ambito_geografico,Materias_CPV,Observaciones,nif_licitador,valor_estimado_licitacion,nombre_poder_adjudicador,nif_adjudicador,nombre_adjudicatario,nif_adjudicatario,valor_oferta_adjudicada,verificacion_organismo,Enlace HTML
CORTES GENERALES,Mesa del Senado,05/2025.,17/03/2025,Licitación,Servicios de distribución masiva de contenidos de la página web del Senado.,Abierto,Comunidad de Madrid,"72000000 Servicios TI: consultoría, desarrollo de software, Internet y apoyo",No disponible,S2804003H.,"219.000,00 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9731
"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES","Junta de Contratación del Ministerio de la Presidencia, Justicia y Relaciones con las Cortes",PG20240075.,17/03/2025,Contratación,Suministro de material de oficina no inventariable para Presidencia del Gobierno.,Abierto,Comunidad de Madrid,"22000000 Impresos y productos relacionados 30000000 Máquinas, equipo y artículos de oficina y de informática, excepto mobiliario y paquetes de software",Lote 3.,No disponible,No disponible,"Junta de Contratación del Ministerio de la Presidencia, Justicia y Relaciones con las Cortes.",S2811001C.,"FOLDER PAPELERIAS, S.A.",A84036391.,"16.271,64 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9732
"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES","Junta de Contratación del Ministerio de la Presidencia, Justicia y Relaciones con las Cortes",PG20240075.,17/03/2025,Contratación,Suministro de material de oficina no inventariable para Presidencia del Gobierno.,Abierto,Comunidad de Madrid,"22000000 Impresos y productos relacionados 30000000 Máquinas, equipo y artículos de oficina y de informática, excepto mobiliario y paquetes de software",Lote 2.,No disponible,No disponible,"Junta de Contratación del Ministerio de la Presidencia, Justicia y Relaciones con las Cortes.",S2811001C.,"FOLDER PAPELERIAS, S.A.",A84036391.,"12.067,43 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9733
"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES","Junta de Contratación del Ministerio de la Presidencia, Justicia y Relaciones con las Cortes",PG20240075.,17/03/2025,Contratación,Suministro de material de oficina no inventariable para Presidencia del Gobierno.,Abierto,Comunidad de Madrid,"22000000 Impresos y productos relacionados 30000000 Máquinas, equipo y artículos de oficina y de informática, excepto mobiliario y paquetes de software",Lote 1.,No disponible,No disponible,"Junta de Contratación del Ministerio de la Presidencia, Justicia y Relaciones con las Cortes.",S2811001C.,"FOLDER PAPELERIAS, S.A.",A84036391.,"7.972,23 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9734
"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES","Junta de Contratación del Ministerio de la Presidencia, Justicia y Relaciones con las Cortes",MPR20240148.,17/03/2025,Licitación,Mantenimiento del sistema de almacenamiento del sistema de difusión audiovisual de medios.,Abierto,Comunidad de Madrid,"72000000 Servicios TI: consultoría, desarrollo de software, Internet y apoyo",No disponible,S2811001C.,"406.675,84 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9735
MINISTERIO DE DEFENSA,Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire,2024/EA15/00003121.,17/03/2025,Contratación,Acuerdo Marco Circuitos Culturales 2025.,Abierto,Comunidad de Madrid,"98000000 Otros servicios comunitarios, sociales o personales",Lote 4.,No disponible,No disponible,Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire.,S2830149G.,VIAJES OLYMPIA MADRID S.A.,A79945093.,"39.545,45 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9736
MINISTERIO DE DEFENSA,Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire,2024/EA15/00003121.,17/03/2025,Contratación,Acuerdo Marco Circuitos Culturales 2025.,Abierto,Comunidad de Madrid,"98000000 Otros servicios comunitarios, sociales o personales",Lote 3.,No disponible,No disponible,Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire.,S2830149G.,VIAJES OLYMPIA MADRID S.A.,A79945093.,"38.045,45 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9737
MINISTERIO DE DEFENSA,Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire,2024/EA15/00003121.,17/03/2025,Contratación,Acuerdo Marco Circuitos Culturales 2025.,Abierto,Comunidad de Madrid,"98000000 Otros servicios comunitarios, sociales o personales",Lote 2.,No disponible,No disponible,Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire.,S2830149G.,VIAJES OLYMPIA MADRID S.A.,A79945093.,"32.045,45 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9738
MINISTERIO DE DEFENSA,Dirección de Adquisiciones del Mando de Apoyo Logístico del Ejército del Aire y del Espacio,2024/EA02/00001665E.,17/03/2025,Contratación,20257121 ATRP Madrid / Torrejón / construcción infraestructura EEAUTO / B.A. Torrejón.,Abierto,Comunidad de Madrid,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,No disponible,No disponible,Dirección de Adquisiciones del Mando de Apoyo Logístico del Ejército del Aire y del Espacio.,S2830189C.,"Heymo Ingeniería, S.A.U.",A28138006.,"261.800,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9739
MINISTERIO DE DEFENSA,Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire,2024/EA15/00003121.,17/03/2025,Contratación,Acuerdo Marco Circuitos Culturales 2025.,Abierto,Comunidad de Madrid,"98000000 Otros servicios comunitarios, sociales o personales",Lote 1. Acuerdo marco.,No disponible,No disponible,Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire.,S2830149G.,VIAJES OLYMPIA MADRID S.A.,A79945093.,"37.500,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9740
MINISTERIO DE DEFENSA,Intendente de Ferrol,2024/AR42U/00003190E.,17/03/2025,Contratación,Servicio abierto para la Reparación y Mantenimiento de Sistemas y Equipos de Comunicación de los buques de la Armada Española apoyados por ARFER y aquellos en tránsito de otros Arsenales.,Abierto,Galicia,"32000000 Equipos de radio, televisión, comunicaciones y telecomunicaciones y equipos conexos 50600000 Servicios de reparación y mantenimiento",No disponible,No disponible,No disponible,Intendente de Ferrol.,S1515003J.,Avante montajes S.L.,B70397278.,"18.000,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9741
MINISTERIO DE DEFENSA,Jefatura de Intendencia de Asuntos Económicos Este,2025/ETSAE0327/00000775E.,17/03/2025,Contratación,Contrato basado A.M. material fungible lote 4 M. Fontanería. Acta capitanía.,No disponible,Aragón,44000000 Estructuras y materiales de construcción; productos auxiliares para la construcción (excepto aparatos eléctricos),Acuerdo marco.,No disponible,No disponible,Jefatura de Intendencia de Asuntos Económicos Este.,S0830042H.,"FERRETERÍA ARIES, S.A.",A50047646.,"3.790,91 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9742
MINISTERIO DE DEFENSA,Jefatura de Intendencia de Asuntos Económicos Este,2025/ETSAE0327/00000780E.,17/03/2025,Contratación,Contrato Basado A.M. material fungible lote 3 M. Eléctrico usac san fernando.,No disponible,Aragón,"31000000 Máquinas, aparatos, equipo y productos consumibles eléctricos; iluminación",Acuerdo marco.,No disponible,No disponible,Jefatura de Intendencia de Asuntos Económicos Este.,S0830042H.,"ELECTRICIDAD Y LUZ DE ARAGON, SL.",B50010438.,"4.120,85 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9743
MINISTERIO DE DEFENSA,Intendente de Ferrol,2024/AR42U/00003192E.,17/03/2025,Contratación,Servicio abierto para la reparación y mantenimiento de sistemas y equipos electrónicos de los buques de la Armada Española apoyados por el Arsenal de Ferrol y aquellos en tránsito de otros Arsenales.,Abierto,Galicia,"31000000 Máquinas, aparatos, equipo y productos consumibles eléctricos; iluminación 50600000 Servicios de reparación y mantenimiento",No disponible,No disponible,No disponible,Intendente de Ferrol.,S1515003J.,"SEPTENTRIO TECHNOLOGIES, SL.",B70415559.,"19.188,22 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9744
MINISTERIO DE DEFENSA,Dirección de Adquisiciones del Mando de Apoyo Logístico del Ejército del Aire y del Espacio,2024/EA02/00001665E.,17/03/2025,Contratación,20257121 ATRP Madrid / Torrejón / construcción infraestructura EEAUTO / B.A. Torrejón.,Abierto,Nacional,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,No disponible,No disponible,Dirección de Adquisiciones del Mando de Apoyo Logístico del Ejército del Aire y del Espacio.,S2830189C.,"Heymo Ingeniería, S.A.U.",A28138006.,"261.800,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9745
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,2024/ETSAE0906/00000284E.,17/03/2025,Licitación,"Mantenimiento y Reparacion de conjuntos y subconjuntos, Vehiculos ANIBAL y Remolques y Plataformas del PCMVR 2.",Abierto,Andalucía,50100000 Servicios de reparación y mantenimiento,Varios lotes.,S2800811H.,"3.636.363,64 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9746
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,2024/ETSAE0906/00004351E.,17/03/2025,Licitación,Suministro de Gases Medicinales.,Abierto,Comunidad de Madrid,24000000 Productos químicos,Varios lotes.,S2800811H.,"725.000,00 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9747
MINISTERIO DE DEFENSA,Dirección de Asuntos Económicos del Ejército,2024/ETSAE0905/00003082E.,17/03/2025,Licitación,Acuerdo Marco para el Mantenimiento Integral de las instalaciones para los Centros Deportivos y Residencias de la DIAPER.,Abierto,Comunidad de Madrid,50700000 Servicios de reparación y mantenimiento,Varios lotes. Acuerdo marco.,S2830078H.,"9.113.602,41 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9748
MINISTERIO DE DEFENSA,Dirección Económico Financiero de la Dirección General de Infraestructura,2024/SP03032003/00004249E.,17/03/2025,Contratación,Valencia / Quart de Poblet / Base ONU (UNICFT-V) / Rehabilitación del edificio 03 y Centro de Operaciones e instalaciones anexas.,Negociado sin publicidad,Comunidad de Madrid,45000000 Trabajos de construcción,Reforma.,No disponible,No disponible,Dirección Económico Financiero de la Dirección General de Infraestructura. MDE.,S2800643E.,"EXTRACO, Construccións e Proxectos, S.A.",A32002644.,"2.428.016,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9749
MINISTERIO DE DEFENSA,Jefatura de la Sección Económico Administrativa 23 de la Base Aérea de Albacete,2024/EA23/00001169E.,17/03/2025,Contratación,Construcción de plataforma adosado material AGE C-16 en la Maestranza Aérea de Albacete.,Abierto,Castilla-La Mancha,45000000 Trabajos de construcción,No disponible,No disponible,No disponible,Jefatura de la Sección Económico Administrativa 23 de la Base Aérea de Albacete.,S0222001J.,ONATE FIGUEREZ S.L.,B16214207.,"219.005,47 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9750
MINISTERIO DE HACIENDA,Delegación Especial de la Agencia Tributaria en Aragón,24A20085200.,17/03/2025,Contratación,Servicios de vigilancia y seguridad con destino a diversos centros de trabajo dependientes de la D.E de la AEAT en Aragón para 2025-2026.,No disponible,"Nacional, Aragón","79000000 Servicios a empresas: legislación, mercadotecnia, asesoría, selección de personal, imprenta y seguridad",Varias adjudicaciones.,No disponible,No disponible,Delegación Especial de la Agencia Tributaria en Aragón.,Q2826000H.,"COMPAÑIA DE VIGILANCIA ARAGONESA, S.L.",B50158468.,"73.054,10 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9751
MINISTERIO DE HACIENDA,Delegación Especial de la Agencia Estatal de Administración Tributaria en Castilla La Mancha,24A70007200.,17/03/2025,Contratación,Servicio de seguridad y vigilancia de los locales ocupados por la AEAT de Castilla - La Mancha.,No disponible,Nacional,"79000000 Servicios a empresas: legislación, mercadotecnia, asesoría, selección de personal, imprenta y seguridad",Lotes 2 y 4.,No disponible,No disponible,Delegación Especial de la Agencia Estatal de Administración Tributaria en Castilla La Mancha.,Q2826000H.,INOVATIVE SECURITY CONCEPT SLU.,B90320912.,"61.398,19 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9752
MINISTERIO DE HACIENDA,Presidencia de la Autoridad Independiente de Responsabilidad Fiscal,2025/015 PA.,17/03/2025,Licitación,Servicio de traducción simultánea.,Abierto,Comunidad de Madrid,"79000000 Servicios a empresas: legislación, mercadotecnia, asesoría, selección de personal, imprenta y seguridad",No disponible,Q2802159J.,"47.680,00 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9753
MINISTERIO DEL INTERIOR,Comandancia Guardia Civil de Almería,GC/AL/2024/01.,17/03/2025,Contratación,"Prestación y explotación del servicio de cafetería y comedor, así como la instalación y explotación de máquinas expendedoras de bebidas y alimentos, en la Comandancia de la Guardia Civil de Almería, sita en Glorieta de Manuel Fraga Iribarne s/n de Almería (CP 04006).",Restringido,Andalucía,55000000 Servicios comerciales al por menor de hostelería y restauración,No disponible,No disponible,No disponible,Comandancia Guardia Civil de Almería.,S0416003B.,JESÚS MARÍA DELGADO DÍAZ.,***2453**.,"0,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9755
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,ADIF - Presidencia,2.25/23108.0010.,17/03/2025,Licitación,Servicio mantenimiento instalaciones de combustible en ADIF 2025-2028.,Abierto,Nacional,50200000 Servicios de reparación y mantenimiento,Se modifica plazo/apertura por anuncio publicado el 10 de abril de 2025 (Ref. BOE-B-2025-13190 ). Varios lotes.,Q2801660H.,"1.035.773,00 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9756
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,ADIF - Presidencia,3.25/24108.0005.,17/03/2025,Licitación,Obras de ejecución del proyecto constructivo de la rehabilitación de la cubierta de la estación de Oviedo.,Abierto,Principado de Asturias,45000000 Trabajos de construcción,No disponible,Q2801660H.,"1.251.723,90 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9757
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,ADIF - Presidencia,3.24/27506.0053.,17/03/2025,Licitación,"Asistencia técnica para el control y vigilancia de las obras de ejecución del proyecto de tratamiento del puente metálico: Trubia P.K. 011/980, L 760 · Oviedo - Trubia T.M. Oviedo (Asturias).",Abierto,Principado de Asturias,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,Q2801660H.,"184.604,93 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9758
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,ADIF - Presidencia,3.24/27507.0225.,17/03/2025,Contratación,Servicios de asistencia técnica para el control y vigilancia de las obras del proyecto de sustitución de hilo de contacto y mejora de protecciones en el trayecto Madrid Atocha - San Fernando de Henares.,Abierto,Comunidad de Madrid,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,No disponible,No disponible,ADIF - Presidencia.,Q2801660H.,UTE Atocha-san Fernando De Henares.,U75996256.,"274.584,32 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9759
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Junta de Contratación del Ministerio de Transportes y Movilidad Sostenible,24PHN2VV0216.,17/03/2025,Contratación,"Seguro de responsabilidad civil/patrimonial para el Ministerio de Transportes y Movilidad Sostenible, la Agencia Estatal de Seguridad Aérea, la Agencia Estatal de seguridad Ferroviaria, el Centro de Estudios y Experimientación de Obras Públicas y el Organismo Autónomo Centro Nacional de Información Geográfica y el personal dependiente de ellos.",Abierto,Comunidad de Madrid,66000000 Servicios financieros y de seguros,No disponible,No disponible,No disponible,Junta de Contratación del Ministerio de Transportes y Movilidad Sostenible.,S2800441D.,HDI Global SE Sucursal en España.,W0049757H.,"531.668,98 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9760
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,ADIF - Presidencia,3.25/24108.0036.,17/03/2025,Licitación,Obras de ejecución de los proyectos constructivos para la instalación del sistema de información al viajero (SIV) en las estaciones terminal 1 y terminal 2 del aeropuerto Josep-Tarradellas Barcelona - El Prat.,Abierto,Cataluña,45000000 Trabajos de construcción,Se modifica plazo por anuncio publicado el 7 de abril de 2025 (Ref. BOE-B-2025-12740 ).,Q2801660H.,"998.530,36 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9762
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,ADIF - Presidencia,3.24/27507.0153.,17/03/2025,Contratación,Ejecución de las obras del proyecto constructivo de fiabilización de línea aérea de contacto con sustitución de pórticos funiculares entre Getafe Industrial y Aranjuez.,Abierto,Comunidad de Madrid,45000000 Trabajos de construcción,No disponible,No disponible,No disponible,ADIF - Presidencia.,Q2801660H.,Syneox Rail SL.,B10744258.,"1.177.196,91 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9763
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Secretaría de Estado de Medio Ambiente,P02.C04.I03.P01.S01.02.005 (PROVISIONAL).,17/03/2025,Contratación,"Restauración de ecosistemas en los Cuarteles D y F (Monte Lugar Nuevo), en el marco del Plan de Recuperación, Transformación y Resiliencia (PRTR).",Abierto,Andalucía,"45000000 Trabajos de construcción 77000000 Servicios agrícolas, forestales, hortícolas, acuícolas y apícolas",Restauración.,No disponible,No disponible,Secretaría de Estado de Medio Ambiente.,S2801401G.,"RETAMAR OBRAS, SERVICIOS Y MEDIO AMBIENTE, S.L.",B30540652.,"390.156,03 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9764
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Secretaría de Estado de Medio Ambiente,P04.C11.I04.P03.S01.01.003 (PROVISIONAL).,17/03/2025,Contratación,"Planta de generación fotovoltaica de 11,10 KWp en la isla de Sálvora, Ribeira (A Coruña).",Abierto,Galicia,45000000 Trabajos de construcción,No disponible,No disponible,No disponible,Secretaría de Estado de Medio Ambiente.,S2801401G.,Intelligent Real Solutions S.L.,B40657728.,"118.877,68 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9765
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Presidencia de la Confederación Hidrográfica del Guadiana,202500000008.,17/03/2025,Contratación,"Servicio de mantenimiento, actualización y asistencia técnica para el LIMS del laboratorio de la Confederación Hidrográfica del Guadiana, O.A., en Ciudad Real.",Abierto,Nacional,50400000 Servicios de reparación y mantenimiento,No disponible,No disponible,No disponible,Presidencia de la Confederación Hidrográfica del Guadiana.,Q0617001C.,Ambidata España S.L.,No disponible,"41.596,63 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9766
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Secretaría de Estado de Medio Ambiente,P04.C11.I4.P02.S05.A01.,17/03/2025,Contratación,"Mejora de la eficiencia energética del edificio sede de la Confederación Hidrográfica del Júcar, O.A. (Valencia), en el marco del Plan de Recuperación, Transformación y Resiliencia (PRTR).",Abierto,Comunidad Valenciana,45000000 Trabajos de construcción,Reforma.,No disponible,No disponible,Secretaría de Estado de Medio Ambiente.,S2801401G.,FULTON S.A.,A46035770.,"5.256.014,95 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9767
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Secretaría de Estado de Medio Ambiente,P02.C05.I3.P01.A18.04.,17/03/2025,Licitación,"Evolución tecnológica de los sistemas automáticos integrados de información hidrológica (SAIH) de la Demarcación Hidrográfica del Segura mediante la implantación de un sistema de gestión de mantenimiento asistido por ordenador y de un único SCADA para la integración el sistema informático y de comunicaciones, en el marco del Plan de Recuperación, Transformación y Resiliencia (PRTR).",Abierto,Nacional,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección 72000000 Servicios TI: consultoría, desarrollo de software, Internet y apoyo",No disponible,S2801401G.,"600.369,89 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9768
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Presidencia de la Confederación Hidrográfica del Guadalquivir,CU(CO)-7100.,17/03/2025,Contratación,"Contrato de servicios para el soporte técnico al Área de Calidad de Aguas de la Confederación Hidrográfica del Guadalquivir en el análisis de muestras de aguas subterráneas, aguas superficiales y vertidos.",Abierto,Andalucía,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,No disponible,No disponible,Presidencia de la Confederación Hidrográfica del Guadalquivir.,Q4117001J.,"UTE: EUROFINS CAVENDISH, S.L.U. - TECNICA Y PROYECTOS, S.A.",No disponible,"792.718,65 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9769
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Presidencia de la Confederación Hidrográfica del Guadalquivir,JA(DT)-7035.,17/03/2025,Contratación,Contrato de servicios para la redacción del proyecto de las obras de interconexión embalses de la Fernandina y Rumblar.,Abierto,Andalucía,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,No disponible,No disponible,Presidencia de la Confederación Hidrográfica del Guadalquivir.,Q4117001J.,INURBI INGENIEROS CONSULTORES SL.,B23586605.,"152.318,48 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9770
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Presidencia de la Confederación Hidrográfica del Guadalquivir,CU(SG)-7118.,17/03/2025,Contratación,"Contrato de suministro de vestuario 2024-2025, para el personal de presas, hidrología y mantenimiento de la Confederación Hidrográfica del Guadalquivir.",Abierto,Andalucía,"18000000 Prendas de vestir, calzado, artículos de viaje y accesorios",Lote 2.,No disponible,No disponible,Presidencia de la Confederación Hidrográfica del Guadalquivir.,Q4117001J.,"SUMINISTRO SERIBOR, S.L.U.",B90073867.,"28.674,80 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9771
MINISTERIO DE SANIDAD,Dirección del Instituto Nacional de Gestión Sanitaria (INGESA),PASA 2024/093.,17/03/2025,Contratación,"Suministro de tres desfibriladores externos semiautomáticos (DESA), mediante el sistema de arrendamiento financiero (renting) sin opción de compra con destino alEdificio c/ Alcalá nº 56 de Madrid.",Abierto,Comunidad de Madrid,"33100000 Equipamiento y artículos médicos, farmacéuticos y de higiene personal 50400000 Servicios de reparación y mantenimiento",No disponible,No disponible,No disponible,Dirección del Instituto Nacional de Gestión Sanitaria (INGESA).,Q2869002B.,ALMAS INDUSTRIES B-SAFE S.L.,B86479078.,"8.323,20 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9772
"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES","Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M",33163/25.,17/03/2025,Contratación,"Suministro de un analizador portátil de óxido de dinitrógeno (N2O) para aplicaciones móviles. Proyecto RIPAMED CNS2023-144737 financiado por Ministerio de Ciencia, Innovación y Universidades y por la Unión Europea NextGenerationEU/PRTR, con destino al Centro de Estudios Avanzados de Blanes.",Abierto,Cataluña,"38000000 Equipo de laboratorio, óptico y de precisión (excepto gafas)",No disponible,No disponible,No disponible,"Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P.",Q2818002D.,"DILUS INSTRUMENTACION Y SISTEMAS, S.A.",A78487154.,"68.230,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9773
"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES","Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M",32547/24.,17/03/2025,Contratación,"Servicio de secuenciación de nueva generación aplicado a transcriptómica total (whole RNASeq - secuenciación completa de RNA) y metiloma (WGBS - Whole Genome Bisulfite Sequencing) de Arabidopsis thaliana y Caernohabditis elegans. destinado al Instituto de Biología Integrativa de Sistemas, de la Agencia Estatal Consejo Superior de Investigaciones Científicas.",Abierto,Comunidad Valenciana,73000000 Servicios de investigación y desarrollo y servicios de consultoría conexos,No disponible,No disponible,No disponible,"Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P.",Q2818002D.,Biomarker Technologies (BMK) GmbH.,No disponible,"150.181,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9774
"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES","Consorcio para la Construcción, Equipamiento y Explotación del Laboratorio de Luz Sincrotrón",35/24.,17/03/2025,Contratación,Suministro e instalación de un microscopio de fluorescencia invertido para el laboratorio de biología del Laboratorio de Luz Sincrotrón ALBA del CELLS.,Abierto,Cataluña,"38000000 Equipo de laboratorio, óptico y de precisión (excepto gafas)",No disponible,No disponible,No disponible,"Consorcio para la Construcción, Equipamiento y Explotación del Laboratorio de Luz Sincrotrón.",Q0801209H.,Izasa Scientific S.L.U.,B66350281.,"79.099,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9775
"MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES",INSS-Dirección provincial de Granada,18/UC-02/25.,17/03/2025,Contratación,Servicio de traducción de documentos de expedientes de Convenios Internacionales y Reglamentos Comunitarios en el ámbito de la gestión de la Dirección Provincial de la Seguridad Social de Granada.,Abierto,Andalucía,"79000000 Servicios a empresas: legislación, mercadotecnia, asesoría, selección de personal, imprenta y seguridad",No disponible,No disponible,No disponible,INSS-Dirección provincial de Granada.,Q1819001G.,"AB TRADUKTALIA,S.L.",No disponible,"0,01 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-9776
